epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,808.236,2.14717,2.73602,1.54406,0.50411,0.55165,0.52198,0.2366,1.97966,1.67189,1.35701,0.000554943,0.000554943,0.000554943
2,1706.49,2.08419,2.09726,1.51029,0.61861,0.52801,0.55337,0.2424,1.94246,1.65226,1.33044,0.00105563,0.00105563,0.00105563
3,2556.35,2.09994,1.93072,1.53559,0.61235,0.56977,0.56378,0.23014,1.93419,1.58499,1.35076,0.00150132,0.00150132,0.00150132
4,3339.41,2.05691,1.92312,1.50835,0.65654,0.55234,0.54234,0.21844,2.03603,1.52191,1.43514,0.00141945,0.00141945,0.00141945
5,1004.69,2.00036,1.78828,1.50425,0,0,0,0,0,0,0,0.00133693,0.00133693,0.00133693
6,2025.88,1.99009,1.68244,1.46954,0,0,0,0,0,0,0,0.00125442,0.00125442,0.00125442
7,3135.99,1.9637,1.66807,1.43257,0,0,0,0,0,0,0,0.0011719,0.0011719,0.0011719
8,4291.75,1.9247,1.59155,1.44368,0,0,0,0,0,0,0,0.00108938,0.00108938,0.00108938
9,5385.42,1.91117,1.56558,1.44011,0,0,0,0,0,0,0,0.00100687,0.00100687,0.00100687
10,6150.31,1.91426,1.50301,1.41889,0,0,0,0,0,0,0,0.000924352,0.000924352,0.000924352
11,6903.75,1.86964,1.52166,1.34845,0,0,0,0,0,0,0,0.000841835,0.000841835,0.000841835
12,7726.2,1.81365,1.4066,1.32907,0,0,0,0,0,0,0,0.000759318,0.000759318,0.000759318
13,8514.49,1.7819,1.34674,1.31558,0,0,0,0,0,0,0,0.000676802,0.000676802,0.000676802
14,9313.43,1.78494,1.26517,1.29652,0,0,0,0,0,0,0,0.000594286,0.000594286,0.000594286
15,10288.4,1.7459,1.22764,1.27687,0,0,0,0,0,0,0,0.000511769,0.000511769,0.000511769
16,11314.5,1.6987,1.19221,1.25802,0,0,0,0,0,0,0,0.000429253,0.000429253,0.000429253
17,12272.7,1.70338,1.15796,1.2715,0,0,0,0,0,0,0,0.000346736,0.000346736,0.000346736
18,13020.2,1.68287,1.13328,1.25017,0,0,0,0,0,0,0,0.00026422,0.00026422,0.00026422
19,14001.1,1.66771,1.11117,1.23585,0,0,0,0,0,0,0,0.000181703,0.000181703,0.000181703
20,14889.7,1.64191,1.09675,1.22186,0.78178,0.57239,0.67292,0.31216,1.84013,1.25222,1.29033,9.91865e-05,9.91865e-05,9.91865e-05
